,Date,variable,value
582,2020-08-15,Age-18to64,1294
583,2020-08-16,Age-18to64,1301
584,2020-08-17,Age-18to64,1319
585,2020-08-18,Age-18to64,1328
586,2020-08-19,Age-18to64,1342
587,2020-08-20,Age-18to64,1354
588,2020-08-21,Age-18to64,1394
589,2020-08-22,Age-18to64,1399
590,2020-08-23,Age-18to64,1401
591,2020-08-24,Age-18to64,1413
592,2020-08-25,Age-18to64,1428
593,2020-08-26,Age-18to64,1438
594,2020-08-27,Age-18to64,1441
595,2020-08-28,Age-18to64,1450
596,2020-08-29,Age-18to64,1453
597,2020-08-30,Age-18to64,1459
598,2020-08-31,Age-18to64,1471
599,2020-09-01,Age-18to64,1484
600,2020-09-02,Age-18to64,1496
601,2020-09-03,Age-18to64,1516
602,2020-09-04,Age-18to64,1523
603,2020-09-05,Age-18to64,1524
604,2020-09-06,Age-18to64,1531
605,2020-09-07,Age-18to64,1534
606,2020-09-08,Age-18to64,1559
607,2020-09-09,Age-18to64,1572
608,2020-09-10,Age-18to64,1582
609,2020-09-11,Age-18to64,1588
610,2020-09-12,Age-18to64,1591
611,2020-09-13,Age-18to64,1601
612,2020-09-14,Age-18to64,1610
613,2020-09-15,Age-18to64,1619
614,2020-09-16,Age-18to64,1630
615,2020-09-17,Age-18to64,1638
616,2020-09-18,Age-18to64,1641
617,2020-09-19,Age-18to64,1645
618,2020-09-20,Age-18to64,1649
619,2020-09-21,Age-18to64,1658
620,2020-09-22,Age-18to64,1665
621,2020-09-23,Age-18to64,1678
622,2020-09-24,Age-18to64,1686
623,2020-09-25,Age-18to64,1690
624,2020-09-26,Age-18to64,1691
625,2020-09-27,Age-18to64,1691
626,2020-09-28,Age-18to64,1696
627,2020-09-29,Age-18to64,1703
628,2020-09-30,Age-18to64,1713
629,2020-10-01,Age-18to64,1721
630,2020-10-02,Age-18to64,1721
631,2020-10-03,Age-18to64,1722
632,2020-10-04,Age-18to64,1726
633,2020-10-05,Age-18to64,1733
634,2020-10-06,Age-18to64,1740
635,2020-10-07,Age-18to64,1745
636,2020-10-08,Age-18to64,1746
637,2020-10-09,Age-18to64,1754
638,2020-10-10,Age-18to64,1757
639,2020-10-11,Age-18to64,1757
640,2020-10-12,Age-18to64,1758
641,2020-10-13,Age-18to64,1764
642,2020-10-14,Age-18to64,1770
643,2020-10-15,Age-18to64,1773
644,2020-10-16,Age-18to64,1775
645,2020-10-17,Age-18to64,1777
646,2020-10-18,Age-18to64,1777
647,2020-10-19,Age-18to64,1784
648,2020-10-20,Age-18to64,1787
649,2020-10-21,Age-18to64,1789
650,2020-10-22,Age-18to64,1794
651,2020-10-23,Age-18to64,1800
652,2020-10-24,Age-18to64,1801
653,2020-10-25,Age-18to64,1802
654,2020-10-26,Age-18to64,1809
655,2020-10-27,Age-18to64,1816
656,2020-10-28,Age-18to64,1817
657,2020-10-29,Age-18to64,1826
658,2020-10-30,Age-18to64,1828
659,2020-10-31,Age-18to64,1828
660,2020-11-01,Age-18to64,1828
661,2020-11-02,Age-18to64,1832
662,2020-11-03,Age-18to64,1836
663,2020-11-04,Age-18to64,1844
664,2020-11-05,Age-18to64,1849
665,2020-11-06,Age-18to64,1853
666,2020-11-07,Age-18to64,1853
667,2020-11-08,Age-18to64,1855
668,2020-11-09,Age-18to64,1863
669,2020-11-10,Age-18to64,1869
670,2020-11-11,Age-18to64,1871
671,2020-11-12,Age-18to64,1880
672,2020-11-13,Age-18to64,1885
673,2020-11-14,Age-18to64,1887
674,2020-11-15,Age-18to64,1887
675,2020-11-16,Age-18to64,1897
676,2020-11-17,Age-18to64,1907
677,2020-11-18,Age-18to64,1914
678,2020-11-19,Age-18to64,1921
679,2020-11-20,Age-18to64,1924
680,2020-11-21,Age-18to64,1928
681,2020-11-22,Age-18to64,1929
682,2020-11-23,Age-18to64,1942
683,2020-11-24,Age-18to64,1954
684,2020-11-25,Age-18to64,1963
685,2020-11-26,Age-18to64,1968
686,2020-11-27,Age-18to64,1973
687,2020-11-28,Age-18to64,1976
688,2020-11-29,Age-18to64,1978
689,2020-11-30,Age-18to64,1991
690,2020-12-01,Age-18to64,1999
691,2020-12-02,Age-18to64,2010
692,2020-12-03,Age-18to64,2028
693,2020-12-04,Age-18to64,2042
694,2020-12-05,Age-18to64,2048
695,2020-12-06,Age-18to64,2054
696,2020-12-07,Age-18to64,2071
697,2020-12-08,Age-18to64,2096
698,2020-12-09,Age-18to64,2115
699,2020-12-10,Age-18to64,2127
700,2020-12-11,Age-18to64,2145
701,2020-12-12,Age-18to64,2150
702,2020-12-13,Age-18to64,2166
703,2020-12-14,Age-18to64,2185
704,2020-12-15,Age-18to64,2222
705,2020-12-16,Age-18to64,2255
706,2020-12-17,Age-18to64,2279
